# TEMPLATE_NUM FILE                  REDSHIFT     NUM_POINTS LOG_LAMBDA                                                                                                                                                     LAMBDA                                                                                                                                                         SPEC                                                                                                                                                          
  0      spDR2-000.fit         -6.7045E-4   3833   "(3.5815, 3.5816000000000003, 3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822000000000003, 3.5823, 3.5824000000000003, 3.5825, 3.5826..." "(3815.047942794385, 3815.9264911893406, 3816.8052419008277, 3817.684194975445, 3818.563350459785, 3819.4427084004683, 3820.322268844109, 3821.202031837349,..." "(0.0, 0.0, -0.0, -0.030776259992685708, -0.11895358592785292, -0.25735357319376034, -0.4377257492200954, 0.7232340765035721, 0.0714893661578599, 1.17395167..."
  1      spDR2-001.fit         -2.435E-4    3823   "(3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822000000000003, 3.5823, 3.5824000000000003, 3.5825, 3.5826000000000002, 3.5827, 3.5828..." "(3816.8052419008277, 3817.684194975445, 3818.563350459785, 3819.4427084004683, 3820.322268844109, 3821.202031837349, 3822.0819974268243, 3822.9621656591976..." "(0.0, -0.0, -0.04024010249300542, -0.24931869000300644, -0.5847417819177664, -0.5287155030856406, -0.6171768208772055, -0.6458337413084922, -0.409092868536..."
  2      spDR2-002.fit         3.669E-6     3819   "(3.5828, 3.5829000000000004, 3.583, 3.5831000000000004, 3.5832, 3.5833000000000004, 3.5834, 3.5835000000000004, 3.5836, 3.5837000000000003, 3.5838, 3.58390..." "(3826.484865951097, 3827.3660480981403, 3828.2474331682283, 3829.1290212080994, 3830.010812264487, 3830.8928063841504, 3831.7750036138436, 3832.657404000349, " "(0.0, 0.0, 8.073161702774736E-4, 0.005296122063375057, 0.016528797075244128, 0.03737425224337898, 0.07042145496702092, 0.1180043309518952, 0.18176120035560..."
  3      spDR2-003.fit         -4.336E-6    3815   "(3.583, 3.5831000000000004, 3.5832, 3.5833000000000004, 3.5834, 3.5835000000000004, 3.5836, 3.5837000000000003, 3.5838, 3.5839000000000003, 3.584, 3.584100..." "(3828.2474331682283, 3829.1290212080994, 3830.010812264487, 3830.8928063841504, 3831.7750036138436, 3832.657404000349, 3833.540007590441, 3834.422814430923..." "(0.0, -0.0, -0.010569652777915372, -0.08251200757409363, -0.2993729771573978, -0.7016822812073249, -1.394215910786234, -2.4189308827096268, -3.814294043483..."
  4      spDR2-004.fit         4.002E-4     3819   "(3.5823, 3.5824000000000003, 3.5825, 3.5826000000000002, 3.5827, 3.5828, 3.5829, 3.583, 3.5831, 3.5832, 3.5833, 3.5834, 3.5835, 3.5836, 3.5837, 3.5838, 3.5..." "(3822.0819974268243, 3822.9621656591976, 3823.8425365811263, 3824.7231102392952, 3825.6038866803838, 3826.484865951097, 3827.366048098136, 3828.24743316822..." "(0.0, 0.0, 0.0, 0.006249529404331344, 0.02293002374489577, 0.046608277816759885, 0.07351562920725886, 0.0996918866091324, 0.12113887940499643, 0.1339489227..."
  5      spDR2-005.fit         1.4343E-4    3823   "(3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999997, 3.5831, 3.5831999999999997, 3.5833, 3.5833999999999997, 3.5835, 3.58359999..." "(3822.9621656591935, 3823.8425365811263, 3824.7231102392916, 3825.6038866803838, 3826.484865951093, 3827.366048098136, 3828.2474331682242, 3829.12902120809..." "(0.0, 0.0, 0.03179321659474784, 0.09739083995599283, 0.1095597153446273, 0.14328822728398452, 0.17264739268936433, -0.032635658662413275, -0.49414856331442..."
  6      spDR2-006.fit         -4.07E-4     3832   "(3.5811, 3.5812000000000004, 3.5813, 3.5814000000000004, 3.5815, 3.5816000000000003, 3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822..." "(3811.5357714484903, 3812.4135110429943, 3813.2914527677754, 3814.1695966693887, 3815.047942794385, 3815.9264911893406, 3816.8052419008277, 3817.6841949754..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.009721971959121618, 0.03833091615034071, 0.08465541427323994, 0.14712604663400092, 0.22377825615595887, -0.30055249730186706, 0..."
  7      spDR2-007.fit         1.3666665E-4 3822   "(3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822000000000003, 3.5823, 3.5824000000000003, 3.5825, 3.5826000000000002, 3.5827, 3.5828..." "(3816.8052419008277, 3817.684194975445, 3818.563350459785, 3819.4427084004683, 3820.322268844109, 3821.202031837349, 3822.0819974268243, 3822.9621656591976..." "(0.0, 0.0, 0.037756307210404925, 0.1892307929855906, 0.320569760921696, 0.15945227693476563, 0.11371888293397381, 0.9634806408928748, 1.686920954324532, 1...."
  8      spDR2-008.fit         8.606E-4     3822   "(3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999997, 3.5831, 3.5831999999999997, 3.5833, 3.5833999999999997, 3.5835, 3.58359999..." "(3822.9621656591935, 3823.8425365811263, 3824.7231102392916, 3825.6038866803838, 3826.484865951093, 3827.366048098136, 3828.2474331682242, 3829.12902120809..." "(0.0, 0.0, 0.02166069741528694, 0.08572319483602502, 0.20533308757505553, 0.29523396178756606, 0.20707188215272157, -0.4908810928320477, 0.05855386389551404, "
  9      spDR2-009.fit         -7.005E-5    3814   "(3.5828, 3.5829000000000004, 3.583, 3.5831000000000004, 3.5832, 3.5833000000000004, 3.5834, 3.5835000000000004, 3.5836, 3.5837000000000003, 3.5838, 3.58390..." "(3826.484865951097, 3827.3660480981403, 3828.2474331682283, 3829.1290212080994, 3830.010812264487, 3830.8928063841504, 3831.7750036138436, 3832.657404000349, " "(0.0, -0.0, -0.007366857637935756, -0.02853228134177474, -0.0288071482342065, -0.022378718379295684, -0.013123266403285878, -0.18566888125400272, -0.536890..."
